date,temperaturemin,temperaturemax
2008-09-12,70,86
2008-09-13,72,91
2008-09-14,73,91
2008-09-15,73,86
2008-09-16,63,73.9
2008-09-17,60.1,73.9
2008-09-18,55.9,81
2008-09-19,55.9,75.9
2008-09-20,53.1,73
2008-09-21,57,75
2008-09-22,60.1,80.1
2008-09-23,59,75.9
2008-09-24,53.1,70
2008-09-25,59,64
2008-09-26,63,81
2008-09-27,64.9,80.1
2008-09-28,66.9,82.9
2008-09-29,64,82
2008-09-30,62.1,81
2008-10-01,51.1,73
2008-10-02,46.9,70
2008-10-03,46.9,75
2008-10-04,48.9,79
2008-10-05,54,82
2008-10-06,53.1,82
2008-10-07,55.9,71.1
2008-10-08,52,73.9
2008-10-09,64,75.9
2008-10-10,64.9,73
2008-10-11,60.1,71.1
2008-10-12,55.9,78.1
2008-10-13,52,79
2008-10-14,48.9,84.9
2008-10-15,54,87.1
2008-10-16,55.9,84.9
2008-10-17,53.1,70
2008-10-18,51.1,62.1
2008-10-19,39,61
2008-10-20,35.1,66.9
2008-10-21,42.1,73.9
2008-10-22,35.1,60.1
2008-10-23,39,60.1
2008-10-24,48,63
2008-10-25,57.9,77
2008-10-26,44.1,70
2008-10-27,35.1,60.1
2008-10-28,34,55
2008-10-29,34,59
2008-10-30,28,60.1
2008-10-31,30.9,66.9
2008-11-01,37.9,77
2008-11-02,37.9,75
2008-11-03,55,57.9
2008-11-04,55.9,59
2008-11-05,52,68
2008-11-06,46.9,77
2008-11-07,46.9,80.1
2008-11-08,44.1,73
2008-11-09,37,66
2008-11-10,34,61
2008-11-11,33.1,57
2008-11-12,39,61
2008-11-13,51.1,66
2008-11-14,55,64
2008-11-15,51.1,75.9
2008-11-16,36,55.9
2008-11-17,32,55
2008-11-18,32,45
2008-11-19,27,45
2008-11-20,28,57
2008-11-21,28,44.1
2008-11-22,21,46
2008-11-23,26.1,55
2008-11-24,28,55
2008-11-25,30.9,54
2008-11-26,26.1,54
2008-11-27,28.9,63
2008-11-28,39,68
2008-11-29,39,50
2008-11-30,39,59
2008-12-01,36,52
2008-12-02,28,48.9
2008-12-03,25,54
2008-12-04,33.1,57.9
2008-12-05,28,52
2008-12-06,26.1,46.9
2008-12-07,25,43
2008-12-08,21.9,48
2008-12-09,36,66
2008-12-10,61,70
2008-12-11,57,69.1
2008-12-12,36,57.9
2008-12-13,25,46.9
2008-12-14,28,57
2008-12-15,54,70
2008-12-16,44.1,61
2008-12-17,44.1,57.9
2008-12-18,48.9,57.9
2008-12-19,54,71.1
2008-12-20,48.9,61
2008-12-21,35.1,60.1
2008-12-22,21,36
2008-12-23,21.9,44.1
2008-12-24,37.9,66.9
2008-12-25,37.9,66
2008-12-26,37,48
2008-12-27,43,59
2008-12-28,57,73.9
2008-12-29,39,60.1
2008-12-30,37,64
2008-12-31,28.9,57
2009-01-01,23,42.1
2009-01-02,27,42.1
2009-01-03,32,57.9
2009-01-04,43,55.9
2009-01-05,53.1,60.1
2009-01-06,43,57
2009-01-07,41,68
2009-01-08,36,53.1
2009-01-09,27,50
2009-01-10,33.1,64
2009-01-11,39.9,57.9
2009-01-12,30,48
2009-01-13,32,43
2009-01-14,28,46
2009-01-15,21.9,44.1
2009-01-16,15.1,28
2009-01-17,10.9,36
2009-01-18,32,41
2009-01-19,35.1,50
2009-01-20,23,35.1
2009-01-21,12.9,35.1
2009-01-22,21.9,48.9
2009-01-23,30.9,60.1
2009-01-24,36,57
2009-01-25,30,36
2009-01-26,33.1,46.9
2009-01-27,39.9,43
2009-01-28,42.1,66.9
2009-01-29,30,54
2009-01-30,28,50
2009-01-31,26.1,46.9
2009-02-01,32,62.1
2009-02-02,37,64
2009-02-03,32,46
2009-02-04,25,37.9
2009-02-05,19,34
2009-02-06,19.9,55
2009-02-07,30.9,71.1
2009-02-08,44.1,75
2009-02-09,39.9,66
2009-02-10,48,73
2009-02-11,54,75
2009-02-12,51.1,69.1
2009-02-13,41,68
2009-02-14,45,63
2009-02-15,34,54
2009-02-16,30.9,46
2009-02-17,23,50
2009-02-18,39.9,57
2009-02-19,34,57.9
2009-02-20,27,43
2009-02-21,21.9,54
2009-02-22,30.9,50
2009-02-23,28,44.1
2009-02-24,23,46
2009-02-25,25,55.9
2009-02-26,37,64.9
2009-02-27,53.1,72
2009-02-28,37.9,57.9
2009-03-01,35.1,37.9
2009-03-02,23,35.1
2009-03-03,18,36
2009-03-04,19.9,50
2009-03-05,28.9,61
2009-03-06,39.9,73.9
2009-03-07,48.9,82
2009-03-08,53.1,84
2009-03-09,55,84
2009-03-10,46.9,69.1
2009-03-11,61,82.9
2009-03-12,46.9,62.1
2009-03-13,39,46.9
2009-03-14,39,44.1
2009-03-15,43,48.9
2009-03-16,46.9,51.1
2009-03-17,43,62.1
2009-03-18,43,68
2009-03-19,45,75.9
2009-03-20,41,60.1
2009-03-21,30.9,57
2009-03-22,30.9,66.9
2009-03-23,42.1,66
2009-03-24,41,57.9
2009-03-25,42.1,48.9
2009-03-26,46,69.1
2009-03-27,57,68
2009-03-28,62.1,70
2009-03-29,50,77
2009-03-30,44.1,66.9
2009-03-31,39,69.1
2009-04-01,53.1,70
2009-04-02,57.9,64.9
2009-04-03,55,78.1
2009-04-04,46.9,73.9
2009-04-05,44.1,82.9
2009-04-06,48,71.1
2009-04-07,41,51.1
2009-04-08,32,61
2009-04-09,43,70
2009-04-10,54,78.1
2009-04-11,51.1,72
2009-04-12,44.1,66
2009-04-13,45,63
2009-04-14,55.9,73
2009-04-15,48.9,64
2009-04-16,43,68
2009-04-17,36,73.9
2009-04-18,45,82.9
2009-04-19,53.1,73
2009-04-20,59,79
2009-04-21,50,75
2009-04-22,46.9,64.9
2009-04-23,41,80.1
2009-04-24,52,89.1
2009-04-25,66,91.9
2009-04-26,61,91
2009-04-27,61,89.1
2009-04-28,55,84.9
2009-04-29,57.9,82.9
2009-04-30,55,75.9
2009-05-01,66.9,82
2009-05-02,66,84
2009-05-03,64,86
2009-05-04,66.9,87.1
2009-05-05,60.1,73
2009-05-06,61,82.9
2009-05-07,66,84
2009-05-08,62.1,82
2009-05-09,66.9,90
2009-05-10,63,80.1
2009-05-11,48,68
2009-05-12,46.9,75.9
2009-05-13,55,75
2009-05-14,60.1,82
2009-05-15,69.1,84.9
2009-05-16,70,87.1
2009-05-17,52,73
2009-05-18,48.9,66.9
2009-05-19,45,71.1
2009-05-20,44.1,79
2009-05-21,60.1,82
2009-05-22,57.9,87.1
2009-05-23,61,84.9
2009-05-24,66.9,84
2009-05-25,66.9,82.9
2009-05-26,69.1,82
2009-05-27,64,86
2009-05-28,68,86
2009-05-29,68,88
2009-05-30,63,84.9
2009-05-31,64.9,88
2009-06-01,64.9,87.1
2009-06-02,66,93.9
2009-06-03,70,91.9
2009-06-04,68,90
2009-06-05,64.9,80.1
2009-06-06,63,75.9
2009-06-07,62.1,86
2009-06-08,66,91
2009-06-09,66,93.9
2009-06-10,64.9,84.9
2009-06-11,69.1,89.1
2009-06-12,66.9,91
2009-06-13,70,91.9
2009-06-14,70,86
2009-06-15,68,84.9
2009-06-16,66,73
2009-06-17,68,80.1
2009-06-18,71.1,91
2009-06-19,70,91
2009-06-20,73.9,96.1
2009-06-21,72,90
2009-06-22,68,88
2009-06-23,68,89.1
2009-06-24,68,91
2009-06-25,64,95
2009-06-26,69.1,97
2009-06-27,71.1,93.9
2009-06-28,63,91.9
2009-06-29,72,91.9
2009-06-30,64,95
2009-07-01,64.9,97
2009-07-02,66.9,91.9
2009-07-03,64.9,87.1
2009-07-04,60.1,90
2009-07-05,70,82
2009-07-06,70,82.9
2009-07-07,64,91
2009-07-08,64.9,91
2009-07-09,69.1,87.1
2009-07-10,66,84
2009-07-11,66.9,91
2009-07-12,72,97
2009-07-13,69.1,82
2009-07-14,64.9,88
2009-07-15,63,91.9
2009-07-16,73.9,91
2009-07-17,73,97
2009-07-18,71.1,86
2009-07-19,66,88
2009-07-20,66.9,79
2009-07-21,68,88
2009-07-22,68,91.9
2009-07-23,72,93
2009-07-24,71.1,91.9
2009-07-25,66.9,96.1
2009-07-26,73,99
2009-07-27,73,93.9
2009-07-28,69.1,95
2009-07-29,72,91.9
2009-07-30,73.9,95
2009-07-31,73,93
2009-08-01,73,91.9
2009-08-02,73.9,82.9
2009-08-03,70,95
2009-08-04,66.9,95
2009-08-05,72,96.1
2009-08-06,70,84.9
2009-08-07,68,88
2009-08-08,69.1,91
2009-08-09,70,99
2009-08-10,72,99
2009-08-11,73,99
2009-08-12,71.1,84
2009-08-13,71.1,81
2009-08-14,71.1,84.9
2009-08-15,71.1,88
2009-08-16,69.1,90
2009-08-17,68,93
2009-08-18,72,96.1
2009-08-19,73,98.1
2009-08-20,73,91.9
2009-08-21,75.9,93.9
2009-08-22,70,86
2009-08-23,69.1,84.9
2009-08-24,68,87.1
2009-08-25,68,88
2009-08-26,66.9,95
2009-08-27,70,93.9
2009-08-28,71.1,90
2009-08-29,71.1,91.9
2009-08-30,69.1,86
2009-08-31,64.9,72
2009-09-01,61,79
2009-09-02,57,79
2009-09-03,59,81
2009-09-04,57.9,87.1
2009-09-05,57,89.1
2009-09-06,63,87.1
2009-09-07,63,79
2009-09-08,68,80.1
2009-09-09,62.1,82
2009-09-10,59,72
2009-09-11,55.9,82.9
2009-09-12,60.1,87.1
2009-09-13,59,82
2009-09-14,57,87.1
2009-09-15,62.1,91
2009-09-16,66.9,79
2009-09-17,64.9,71.1
2009-09-18,64.9,77
2009-09-19,62.1,81
2009-09-20,62.1,78.1
2009-09-21,57,82
2009-09-22,64,81
2009-09-23,71.1,82.9
2009-09-24,71.1,90
2009-09-25,62.1,77
2009-09-26,63,68
2009-09-27,61,81
2009-09-28,55,86
2009-09-29,50,72
2009-09-30,46.9,75
2009-10-01,51.1,73
2009-10-02,55,77
2009-10-03,55,82
2009-10-04,48.9,75
2009-10-05,57,66.9
2009-10-06,60.1,66
2009-10-07,57.9,82.9
2009-10-08,45,73.9
2009-10-09,55.9,82.9
2009-10-10,59,79
2009-10-11,55.9,70
2009-10-12,53.1,60.1
2009-10-13,52,77
2009-10-14,46.9,61
2009-10-15,45,55
2009-10-16,46,57.9
2009-10-17,45,57.9
2009-10-18,39.9,52
2009-10-19,34,61
2009-10-20,35.1,72
2009-10-21,42.1,78.1
2009-10-22,46,78.1
2009-10-23,60.1,81
2009-10-24,57.9,81
2009-10-25,46.9,60.1
2009-10-26,44.1,64
2009-10-27,54,62.1
2009-10-28,54,75.9
2009-10-29,48,68
2009-10-30,54,61
2009-10-31,59,80.1
2009-11-01,48.9,70
2009-11-02,42.1,60.1
2009-11-03,37.9,71.1
2009-11-04,37.9,64
2009-11-05,37.9,64.9
2009-11-06,37.9,60.1
2009-11-07,33.1,66
2009-11-08,42.1,75.9
2009-11-09,42.1,75.9
2009-11-10,55.9,63
2009-11-11,48,57
2009-11-12,46,48
2009-11-13,48,55
2009-11-14,48,66.9
2009-11-15,44.1,73
2009-11-16,42.1,73.9
2009-11-17,46.9,63
2009-11-18,52,62.1
2009-11-19,57.9,73
2009-11-20,42.1,63
2009-11-21,39,57
2009-11-22,37,57
2009-11-23,48.9,52
2009-11-24,48,57.9
2009-11-25,46.9,55.9
2009-11-26,41,61
2009-11-27,36,54
2009-11-28,28.9,57.9
2009-11-29,39,71.1
2009-11-30,42.1,62.1
2009-12-01,30,55.9
2009-12-02,39.9,68
2009-12-03,39,68
2009-12-04,34,55.9
2009-12-05,36,48
2009-12-06,28,44.1
2009-12-07,27,51.1
2009-12-08,33.1,46
2009-12-09,39.9,70
2009-12-10,35.1,59
2009-12-11,25,36
2009-12-12,21.9,43
2009-12-13,36,42.1
2009-12-14,37.9,50
2009-12-15,48,59
2009-12-16,28.9,48.9
2009-12-17,28,45
2009-12-18,30.9,37
2009-12-19,30,34
2009-12-20,26.1,45
